record_ID;island;archipelago;lat;log;elevation;first_arrival_BP;XV_arrival;DEPTH_numeric;TIME_BP;K;Si;Ca;S;Ti;Mn;Fe;Sr;Zr;C;N
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;58.14;-35.56;470;16390;4216;1148;14142;693;62939;1121;3028;26.57;2.39
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;112.64;-5.24;397;16220;3874;1129;11650;843;55686;1043;2447;26.98;2.5
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;167.14;24.54;259;16278;3523;898;9972;571;50951;1052;2490;27.21;2.52
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;221.64;54.86;382;16386;4044;982;12308;576;57957;1202;2840;25.57;2.35
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;276.14;84.64;197;16293;3922;544;10702;845;48908;1055;2625;25.7;2.34
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;330.64;114.96;363;16585;3882;559;12193;898;52473;1163;2676;24.69;2.27
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;385.14;144.74;346;16637;4297;736;12490;871;53411;1142;2731;25.69;2.44
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;439.64;175.06;505;16609;4692;673;13374;949;61785;1392;3251;24.24;2.27
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;494.5;204.84;837;16971;5927;804;15699;989;70090;1466;3456;22.44;2.1
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;549;235.16;624;17392;5678;970;16093;863;70585;1443;3136;22.06;2.16
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;603.5;265.49;1140;18571;8627;857;23530;1303;96138;1943;4068;17.84;1.55
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;658;295.26;1195;19760;8204;788;24668;1547;104320;2122;4571;16.15;1.41
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;712.86;325.59;1586;20777;9128;786;25094;1225;108581;2465;4782;13.43;1.2
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;767.36;355.36;1388;21189;9529;754;23950;1261;112355;2434;4783;14.26;1.28
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;821.86;385.69;1696;22089;11177;827;26536;1438;124630;4617;4778;14.32;1.29
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;876.36;422.16;1452;20991;8635;783;24346;1220;116027;2994;5496;8.15;0.67
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;930.86;466.65;1962;20358;12086;186;38104;1638;163379;2562;6432;11.62;0.88
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;985.36;510.34;1108;17287;7433;266;24554;1451;115757;2143;5050;17.93;1.31
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;1039.86;554.83;812;16579;6021;277;20745;1166;104438;1928;4238;20.38;1.42
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;1094.72;599.32;1309;18154;6895;698;25657;1377;112261;1789;3984;24.04;1.57
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;1149.22;614.2;0;15669;1718;0;3790;672;31895;1894;3613;22.75;1.51
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;1203.72;626.37;736;16337;5333;439;20604;1222;102719;2061;4394;21.85;1.43
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;1258.22;638.31;591;15900;4668;298;17353;1128;98622;2138;4350;21.47;1.46
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;1313.08;650.47;521;16125;4076;284;18418;1081;106577;2550;4873;19.68;1.34
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;1367.58;662.64;1028;17429;5952;604;23854;1247;116031;2463;4297;22.91;1.43
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;1422.08;674.58;503;17292;3920;496;12694;732;73940;1716;2966;29.05;1.82
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;1476.58;686.75;137;17246;3733;275;6937;675;54638;1655;2286;33.5;1.74
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;1531.44;720.16;0;17054;3065;403;4687;1014;41606;1794;2060;31.92;1.5
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;1585.94;761.13;195;16567;4871;631;9334;1106;56682;1805;2330;32.15;1.61
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;1640.44;801.36;20;16038;3652;164;6248;699;41429;1564;2339;31.23;1.87
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;1868.15;958.26;243;16389;4618;557;9552;753;49753;1878;2265;32.97;1.69
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;1919.4;974.96;693;17691;7495;1208;15766;1147;74009;1856;2821;30.22;1.78
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;1970.65;991.99;758;17247;6455;827;13460;740;65931;1918;2590;29.74;1.68
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;2021.9;1008.69;294;15998;4512;347;9209;910;53124;1923;2570;32.75;1.72
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;2073.25;1025.39;512;16649;5946;719;12401;1036;60382;2156;2808;41.27;1.81
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;2124.5;1042.09;290;15949;4716;382;10039;965;52505;1994;2791;30.59;1.81
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;2175.75;1059.12;0;15238;2122;0;4716;673;35994;1974;2860;29.43;1.78
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;2227;1075.82;130;15523;3594;225;8679;844;46751;2237;3036;31.51;1.61
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;2278.35;1092.52;360;15934;4556;393;11235;916;56343;2136;2842;31.59;1.83
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;2329.6;1109.54;300;15937;3918;348;8888;977;49220;1860;2704;31.8;1.87
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;2380.85;1126.24;414;16345;5179;757;11825;917;56965;1902;2690;30.28;1.88
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;2432.1;1142.94;482;16438;6676;904;12679;846;56566;2046;2553;32.06;1.87
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;2483.45;1163.77;0;15405;2968;30;5638;757;34434;1784;2215;31.67;1.91
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;2534.7;1197.31;310;15993;4483;424;10017;923;53043;2079;2651;31.47;1.89
