record_ID;archipelago;lat;first_arrival_BP;XV_arrival;DEPTH_numeric;TIME_BP;K;Fe;Sr;N;Si;Ca;Ti;V;Mn;Fe;Cl;Sr;Zr
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;58.14;-35.56;470;16390;4216;14142;836;693;62939;2101;1121;3028
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;112.64;-5.24;397;16220;3874;11650;1013;843;55686;2064;1043;2447
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;167.14;24.54;259;16278;3523;9972;919;571;50951;2306;1052;2490
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;221.64;54.86;382;16386;4044;12308;955;576;57957;2289;1202;2840
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;276.14;84.64;197;16293;3922;10702;1015;845;48908;2421;1055;2625
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;330.64;114.96;363;16585;3882;12193;860;898;52473;2659;1163;2676
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;385.14;144.74;346;16637;4297;12490;756;871;53411;2382;1142;2731
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;439.64;175.06;505;16609;4692;13374;956;949;61785;2459;1392;3251
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;494.5;204.84;837;16971;5927;15699;1029;989;70090;2197;1466;3456
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;549;235.16;624;17392;5678;16093;1097;863;70585;2232;1443;3136
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;603.5;265.49;1140;18571;8627;23530;1528;1303;96138;2361;1943;4068
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;658;295.26;1195;19760;8204;24668;1625;1547;104320;2296;2122;4571
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;712.86;325.59;1586;20777;9128;25094;1413;1225;108581;2465;2465;4782
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;767.36;355.36;1388;21189;9529;23950;1484;1261;112355;2588;2434;4783
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;821.86;385.69;1696;22089;11177;26536;1736;1438;124630;2466;4617;4778
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;876.36;422.16;1452;20991;8635;24346;1500;1220;116027;2598;2994;5496
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;930.86;466.65;1962;20358;12086;38104;2073;1638;163379;2593;2562;6432
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;985.36;510.34;1108;17287;7433;24554;1625;1451;115757;1748;2143;5050
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;1039.86;554.83;812;16579;6021;20745;1379;1166;104438;2371;1928;4238
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;1094.72;599.32;1309;18154;6895;25657;1462;1377;112261;2045;1789;3984
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;1149.22;614.2;0;15669;1718;3790;416;672;31895;2229;1894;3613
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;1203.72;626.37;736;16337;5333;20604;1334;1222;102719;1971;2061;4394
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;1258.22;638.31;591;15900;4668;17353;1150;1128;98622;2116;2138;4350
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;1313.08;650.47;521;16125;4076;18418;1364;1081;106577;1752;2550;4873
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;1367.58;662.64;1028;17429;5952;23854;1386;1247;116031;1687;2463;4297
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;1422.08;674.58;503;17292;3920;12694;1136;732;73940;2680;1716;2966
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;1476.58;686.75;137;17246;3733;6937;639;675;54638;3205;1655;2286
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;1531.44;720.16;0;17054;3065;4687;528;1014;41606;2660;1794;2060
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;1585.94;761.13;195;16567;4871;9334;724;1106;56682;2877;1805;2330
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;1640.44;801.36;20;16038;3652;6248;558;699;41429;2554;1564;2339
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;1868.15;958.26;243;16389;4618;9552;714;753;49753;2261;1878;2265
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;1919.4;974.96;693;17691;7495;15766;1105;1147;74009;2455;1856;2821
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;1970.65;991.99;758;17247;6455;13460;720;740;65931;2424;1918;2590
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;2021.9;1008.69;294;15998;4512;9209;604;910;53124;2398;1923;2570
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;2073.25;1025.39;512;16649;5946;12401;651;1036;60382;2356;2156;2808
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;2124.5;1042.09;290;15949;4716;10039;781;965;52505;2371;1994;2791
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;2175.75;1059.12;0;15238;2122;4716;633;673;35994;2552;1974;2860
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;2227;1075.82;130;15523;3594;8679;816;844;46751;2229;2237;3036
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;2278.35;1092.52;360;15934;4556;11235;866;916;56343;2337;2136;2842
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;2329.6;1109.54;300;15937;3918;8888;811;977;49220;2087;1860;2704
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;2380.85;1126.24;414;16345;5179;11825;632;917;56965;2310;1902;2690
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;2432.1;1142.94;482;16438;6676;12679;698;846;56566;2599;2046;2553
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;2483.45;1163.77;0;15405;2968;5638;418;757;34434;2730;1784;2215
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;2534.7;1197.31;310;15993;4483;10017;914;923;53043;2525;2079;2651
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;2585.95;1230.2;117;15677;4154;7493;821;783;39853;2743;1948;2463
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;2637.2;1263.1;397;16060;6082;11224;820;1055;58722;2186;2044;2604
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;2688.55;1296.64;353;16528;7112;12099;928;874;56661;2345;2447;2569
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;2739.8;1329.53;524;16247;7127;12479;925;944;58509;2200;2612;2881
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;2791.05;1362.43;473;16628;6855;12289;628;962;57957;2201;2416;2710
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;2842.3;1395.32;223;15845;5268;8807;716;975;50040;2648;2510;2472
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;2893.65;1428.86;462;16077;6279;10297;640;688;52170;2350;2190;2469
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;2944.9;1461.76;522;16748;8771;13977;948;1047;64275;3128;2654;2666
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;2996.15;1494.65;271;15937;5184;9338;725;883;50247;2508;2204;2372
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;3047.4;1527.55;217;15445;3785;6765;511;694;44341;2281;2122;2619
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;3098.75;1561.09;358;15813;5742;10942;723;850;58045;2479;2355;2751
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;3150;1593.98;404;16034;6109;11010;962;996;58007;2050;2630;2898
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;3201.25;1626.88;153;15585;4569;8424;860;941;49402;2393;2393;2750
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;3252.5;1659.77;440;16183;6836;11589;961;882;54711;2318;2459;2701
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;3303.85;1693.31;411;16681;6416;10867;703;978;54216;2416;2281;2654
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;3355.1;1726.21;233;16566;6764;12316;812;876;54758;2503;2317;2688
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;3406.35;1759.1;30;15832;2814;5117;706;794;35302;2678;2141;2521
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;3613.69;1893.26;320;16450;7368;14374;907;1026;72014;2611;2573;3025
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;3669.44;1928.73;1099;17412;9361;24008;1278;1150;93239;2215;2775;3787
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;3725.19;1964.85;691;17790;9301;15545;979;969;62557;2608;2535;2850
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;3780.94;2000.97;792;17805;9715;16291;1014;1233;75304;2242;2623;3034
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;84;-59.38;1303;36425;10557;14653;931;2320;97092;4985;1918;2154
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;134;-56.01;3331;40639;18015;27582;1665;3095;153060;5882;3298;3907
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;184;-51.9;16126;64386;52338;92663;3860;4952;416491;5828;6422;8155
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;234;-46.25;840;32992;9879;14702;1450;2357;85948;6202;1622;2141
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;284;-41.18;2959;48234;17309;18419;1501;3152;109522;6412;2419;2813
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;334;-37.24;2739;39826;17870;21748;1610;3195;130429;7279;3278;3503
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;384;-33.42;1913;34327;11422;14480;1202;2361;94445;6327;2501;2793
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;434;-28.53;4872;45674;21311;27352;1430;3408;148596;5327;3264;4260
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;484;-20.8;1041;37732;8630;9767;1130;2085;59908;6934;1341;1690
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;534;-11.45;3918;44296;22699;30424;1884;3736;168129;5577;3697;4067
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;584;-2.68;4649;43478;24331;35782;1764;3072;174408;5407;3463;4108
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;634;8.24;1784;46168;13865;14210;1190;2411;80779;7923;2015;2462
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;684;23.06;1554;40983;12183;12654;1410;2433;66615;5988;1634;1841
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;734;39.56;2277;45483;16698;19061;1527;2766;101790;5981;2602;2854
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;784;56.06;2232;48990;15370;16844;1241;2603;89621;6262;2313;2463
